🇨🇳 央视,#genre#
CCTV12,http://59.32.97.78:9901/tsfile/live/1050_1.m3u8?key=txiptv&playlive=1&down=1
CCTV12,http://59.32.97.165:9901/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&down=1
CCTV12,http://119.125.128.225:9901/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://171.108.239.74:8181/tsfile/live/1038_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://171.108.239.79:8181/tsfile/live/1039_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://59.32.97.78:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&down=1
CCTV13,http://61.184.128.243:1111/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://171.108.239.74:8181/tsfile/live/1039_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://59.32.97.78:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&down=1
CCTV14,http://59.32.97.165:9901/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&down=1
CCTV14,http://59.32.97.78:9901/tsfile/live/1051_1.m3u8?key=txiptv&playlive=1&down=1
CCTV14,http://59.32.97.78:9901/tsfile/live/1051_1.m3u8?key=txiptv&playlive=1&down=1
CCTV14,http://119.125.128.225:9901/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://61.184.128.243:1111/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://171.108.239.74:8181/tsfile/live/1040_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://171.108.239.74:8181/tsfile/live/1041_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://171.108.239.79:8181/tsfile/live/1041_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://59.32.97.78:9901/tsfile/live/1102_1.m3u8?key=txiptv&playlive=1&down=1
CCTV15,http://119.125.128.225:9901/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://59.32.97.78:9901/tsfile/live/1102_1.m3u8?key=txiptv&playlive=1&down=1
CCTV15,http://119.125.128.225:9901/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV16,http://171.108.239.74:8181/tsfile/live/1042_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV16,http://59.32.97.78:9901/tsfile/live/1087_1.m3u8?key=txiptv&playlive=1&down=1
CCTV16,http://59.32.97.78:9901/tsfile/live/1087_1.m3u8?key=txiptv&playlive=1&down=1
CCTV16,http://171.108.239.79:8181/tsfile/live/1042_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://59.32.97.78:9901/tsfile/live/1052_1.m3u8?key=txiptv&playlive=1&down=1
CCTV17,http://171.108.239.79:8181/tsfile/live/1043_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://119.125.128.225:9901/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://59.32.97.78:9901/tsfile/live/1052_1.m3u8?key=txiptv&playlive=1&down=1
CCTV17,http://119.125.128.225:9901/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://171.108.239.74:8181/tsfile/live/1043_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV第一剧场,http://61.184.128.243:1111/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV风云足球,http://61.184.128.243:1111/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV1,http://php.jdshipin.com:8880/xsj.php?id=cctv1
CCTV2,http://php.jdshipin.com:8880/xsj.php?id=cctv2
CCTV3,http://php.jdshipin.com:8880/xsj.php?id=cctv3
CCTV4,http://php.jdshipin.com:8880/xsj.php?id=cctv4
CCTV5,http://php.jdshipin.com:8880/xsj.php?id=cctv5
CCTV5+,http://php.jdshipin.com:8880/xsj.php?id=cctv5plus
CCTV6,http://php.jdshipin.com:8880/xsj.php?id=cctv6
CCTV7,http://php.jdshipin.com:8880/xsj.php?id=cctv7
CCTV8,http://php.jdshipin.com:8880/xsj.php?id=cctv8
CCTV9,http://php.jdshipin.com:8880/xsj.php?id=cctv9
CCTV10,http://php.jdshipin.com:8880/xsj.php?id=cctv10
CCTV11,http://php.jdshipin.com:8880/xsj.php?id=cctv11
CCTV12,http://php.jdshipin.com:8880/xsj.php?id=cctv12
CCTV13,http://php.jdshipin.com:8880/xsj.php?id=cctv13
CCTV14,http://php.jdshipin.com:8880/xsj.php?id=cctv14
CCTV15,http://php.jdshipin.com:8880/xsj.php?id=cctv15
CCTV16,http://php.jdshipin.com:8880/xsj.php?id=cctv16
CCTV17,http://php.jdshipin.com:8880/xsj.php?id=cctv17
CHC家庭影院,http://php.jdshipin.com:8880/xsj.php?id=chcjtyy
CHC动作电影,http://php.jdshipin.com:8880/xsj.php?id=chcdzdy
CHC高清电影,http://php.jdshipin.com:8880/xsj.php?id=chcgqdy
重温经典,http://php.jdshipin.com:8880/xsj.php?id=cwjd
CCTV1测试,http://php.jdshipin.com:8880/xsj.php?id=testcctv1
CCTV2测试,http://php.jdshipin.com:8880/xsj.php?id=testcctv2
CCTV3测试,http://php.jdshipin.com:8880/xsj.php?id=testcctv3
CCTV4测试,http://php.jdshipin.com:8880/xsj.php?id=testcctv4
CCTV5测试,http://php.jdshipin.com:8880/xsj.php?id=testcctv5
CCTV1,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel1/1300.m3u8
CCTV1,https://node1.olelive.com:6443/live/CCTV1HD/hls.m3u8
CCTV1,http://ldncctvwbndks.v.kcdnvip.com/ldncctvwbnd/ldcctv1_2/index.m3u8
CCTV2,https://liveop.cctv.cn/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8
CCTV2,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel2/1300.m3u8
CCTV3,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel3/1300.m3u8
CCTV4,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel4/1300.m3u8
CCTV5,https://node1.olelive.com:6443/live/CCTV5HD/hls.m3u8
CCTV5,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel5/1300.m3u8
CCTV5+,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel13/1300.m3u8
CCTV6,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2013693901/timeshift.m3u8?delay=0&cdn=5202
CCTV6,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel6/1300.m3u8
CCTV7,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel7/1300.m3u8
CCTV8,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel8/1300.m3u8
CCTV9,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel9/1300.m3u8
CCTV9,https://node1.olelive.com:6443/live/CCTV9HD/hls.m3u8
CCTV10,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel10/1300.m3u8
